True_Labels,Predicted_Probabilities
0,0.027126709
0,0.7375857
0,0.03160506
0,0.02112812
0,0.025496515
0,0.05065668
0,0.084362954
0,0.026734471
0,0.9359053
0,0.3605778
0,0.016576534
0,0.022261854
0,0.02986066
0,0.023902025
0,0.034801044
0,0.030554503
0,0.020718066
0,0.024762178
0,0.015841972
0,0.018991187
0,0.019229848
0,0.020130612
0,0.02120146
0,0.09040832
0,0.02616648
0,0.23113614
0,0.026258811
0,0.01493596
0,0.06695267
0,0.025608392
0,0.044876453
0,0.029735984
0,0.03982446
0,0.432144
0,0.01359056
0,0.053517245
0,0.07104377
0,0.035513975
0,0.017265078
0,0.030014062
0,0.017433178
0,0.22735593
0,0.059207197
0,0.050907683
0,0.06959005
0,0.0176984
0,0.05608447
0,0.022992747
0,0.015032339
0,0.017679377
0,0.023818593
0,0.021123348
0,0.019463127
0,0.037320733
0,0.018038485
0,0.014272954
0,0.114355564
0,0.038116146
0,0.044331323
0,0.23454934
0,0.029202696
0,0.031104969
0,0.052129
0,0.7700671
0,0.97619706
0,0.048396934
0,0.018117066
0,0.015483522
0,0.0351998
0,0.26566774
0,0.079715624
0,0.028928999
0,0.05732435
0,0.015279843
0,0.581027
0,0.022013173
0,0.05359969
0,0.1573292
0,0.02512418
0,0.119524635
0,0.02914982
0,0.017907714
0,0.06780025
0,0.019868024
0,0.045711644
0,0.016908681
0,0.022066096
0,0.013236541
0,0.017307773
0,0.042913508
0,0.023516472
0,0.02568475
0,0.028031532
0,0.01816283
0,0.027887005
0,0.07980947
0,0.033623606
0,0.14506583
0,0.029405706
0,0.24120972
0,0.031163823
0,0.030760549
0,0.13470475
0,0.54872084
0,0.027617052
0,0.044091724
0,0.03251067
0,0.05033533
0,0.62715656
0,0.019922787
0,0.022411091
0,0.017034112
0,0.11606072
0,0.024429549
0,0.2524839
0,0.022001904
0,0.018775072
0,0.023682227
0,0.04813513
0,0.043349676
0,0.12063157
0,0.016213844
0,0.07056721
0,0.023355206
0,0.016881438
0,0.3221591
0,0.023563107
0,0.019570135
0,0.023138747
0,0.019087177
0,0.034984227
0,0.023283726
0,0.018815208
0,0.02405545
0,0.17032152
0,0.0353949
0,0.5837245
0,0.80717117
0,0.054580823
0,0.018363485
0,0.031001646
0,0.1101337
0,0.018979628
0,0.028945224
0,0.10461292
0,0.025963109
0,0.0410212
0,0.09320807
0,0.03216223
0,0.08309396
0,0.022931
0,0.0928193
0,0.1619583
0,0.22677892
0,0.0752332
0,0.029606301
0,0.020015966
0,0.045179754
0,0.044461604
0,0.03526651
0,0.21451318
0,0.0452683
0,0.07039457
0,0.2636364
0,0.0211861
0,0.037581693
0,0.07220336
0,0.05524643
0,0.08665488
0,0.03136126
0,0.040558208
0,0.015859919
0,0.044929158
0,0.021503482
0,0.019603772
0,0.021094223
0,0.020110251
0,0.047416437
0,0.02988428
0,0.06902319
0,0.018081259
0,0.033803914
0,0.026063928
0,0.05319888
0,0.03241887
0,0.073264144
0,0.025499422
0,0.10532034
0,0.021720843
0,0.26966074
0,0.027511321
0,0.01514819
0,0.11998555
0,0.017151596
0,0.01914968
0,0.018933503
0,0.031916734
0,0.027220374
0,0.015031422
0,0.3848946
0,0.034770425
0,0.041773748
0,0.023120701
0,0.6313847
0,0.020407917
0,0.38055882
0,0.028241958
0,0.052161694
0,0.02463369
0,0.034589995
0,0.014986475
0,0.033220116
0,0.036449775
0,0.24722824
0,0.021957643
0,0.024224924
0,0.022438092
0,0.016850268
0,0.05830616
0,0.027884671
0,0.030955812
0,0.013056349
0,0.019214291
0,0.01446851
0,0.023283726
0,0.017628072
0,0.02384089
0,0.11656965
0,0.0358222
0,0.16679391
0,0.02304809
0,0.80717117
0,0.018349208
0,0.04729742
0,0.0328121
0,0.017411254
0,0.025653861
0,0.02670388
0,0.12850879
0,0.3773307
0,0.054494087
0,0.030723125
0,0.037483536
0,0.04045395
0,0.10360704
0,0.055633318
0,0.15828574
0,0.041226316
0,0.02496022
0,0.37754053
0,0.017424474
0,0.037354235
1,0.9908901
1,0.99145377
1,0.98996603
1,0.9914364
1,0.65402335
1,0.99037457
1,0.993604
1,0.8192976
1,0.993576
1,0.9915843
1,0.73332864
1,0.97731453
1,0.9579103
1,0.98841757
1,0.9752203
1,0.023588264
1,0.03025137
1,0.9506806
1,0.8508604
1,0.032717697
1,0.061082784
1,0.64687026
1,0.08001534
1,0.7784691
1,0.9188351
1,0.991618
1,0.99305516
1,0.990222
1,0.9920264
1,0.97938067
1,0.9913693
1,0.99031794
1,0.9925569
1,0.57521456
1,0.17186074
1,0.033293657
1,0.99288493
1,0.9917762
1,0.992251
1,0.99330235
1,0.9928807
1,0.9906437
1,0.99228245
1,0.055657048
1,0.95481724
1,0.9896361
1,0.9906425
1,0.9847356
1,0.9872317
1,0.9654258
1,0.98860186
1,0.019319512
1,0.8431194
1,0.9273599
1,0.10321087
1,0.8470644
1,0.9903564
1,0.99277157
1,0.99365187
1,0.9932225
1,0.9833188
1,0.9928443
1,0.9895789
1,0.992657
1,0.9845776
1,0.9883972
1,0.99076533
1,0.9910642
1,0.96430194
1,0.3186347
1,0.7759197
1,0.98537666
1,0.86871415
1,0.95457834
1,0.99338526
1,0.9917629
1,0.99243504
1,0.99318707
1,0.9370082
1,0.91190714
1,0.99325234
1,0.98790205
1,0.98155814
1,0.9879738
1,0.9839998
1,0.917455
1,0.98684907
1,0.9763046
1,0.99278224
1,0.7898916
1,0.8459511
1,0.3623209
1,0.37473774
1,0.84308076
1,0.9468755
1,0.13041973
1,0.7875066
1,0.964312
1,0.9933473
1,0.9932405
1,0.99311745
1,0.99367744
1,0.9927031
1,0.9899564
1,0.99382085
1,0.99012697
1,0.99073386
1,0.9689163
1,0.9736676
1,0.94859684
1,0.6842366
1,0.98642457
1,0.9452352
1,0.95835435
