"","Mean","Median","Min","Max","SD","IQR"
"Logistic_Regression",0.333141404926799,0.166486168279041,0.00387666154239522,0.999674464336772,0.332371472314844,0.488301365475933
"MLP",0.331115066852968,0.0954836610122655,0.00018649251606775,0.9992464717225,0.387197649722225,0.710515545588065
"XGBoost",0.306953413743798,0.028137793,0.00012020168,0.9999422,0.419308801385918,0.867683123375
"TabTransformer",0.325134507106557,0.0535584675,0.013056349,0.99382085,0.407288803255438,0.81191770625
"TabNet",0.308413362317892,0.00685463285,9.098352e-12,0.99999999,0.437184484182271,0.95054394375
"KAN",0.336985509468739,0.025363474,4.667155e-16,0.99999999,0.44982606305039,0.997214850325
