"Model","Accuracy","Balanced.Accuracy","Youden.index","DOR","Kappa","F1","MCC","Sensitivity.Recall","Specificity","PPV.precision","NPV"
"Logistic_Regression",0.868852459016394,0.847117794486215,0.694235588972431,35.625,0.694235588972432,0.789473684210526,0.694235588972431,0.789473684210526,0.904761904761905,0.789473684210526,0.904761904761905
"MLP",0.885245901639344,0.878237259816207,0.756474519632414,53.2403846153846,0.738731388945544,0.823529411764706,0.74016488046582,0.859649122807018,0.896825396825397,0.790322580645161,0.933884297520661
"XGBoost",0.953551912568306,0.947055137844611,0.894110275689223,357.749999999998,0.891967913324305,0.925764192139738,0.891985924417646,0.929824561403509,0.964285714285714,0.921739130434783,0.96812749003984
"TabTransformer",0.920765027322404,0.911236424394319,0.822472848788638,114.596153846154,0.816588906169,0.874458874458874,0.816735930249812,0.885964912280702,0.936507936507936,0.863247863247863,0.947791164658634
"TabNet",0.918032786885246,0.904448621553885,0.80889724310777,104.28,0.80889724310777,0.868421052631579,0.80889724310777,0.868421052631579,0.94047619047619,0.868421052631579,0.94047619047619
"KAN",0.926229508196721,0.915204678362573,0.830409356725146,132.076923076923,0.828419627044484,0.882096069868996,0.828436354936828,0.885964912280702,0.944444444444444,0.878260869565217,0.948207171314741
