"Model","Loglikelihood","Logloss","Brier","Scaled.Brier","McFadden.R2","Cox.Snell.R2","Nagelkerke.R2","Discrimination.slope","MAPE"
"Logistic_Regression",-109.86833368224,109.86833368224,0.090630986917002,0.577396112383252,0.516043401242927,0.472801826593698,0.66519148274488,0.552071396853009,0.202011252670319
"MLP",-96.6520442490386,96.6520442490386,0.0765994333281677,0.642823945596351,0.574259542945595,0.509533804765863,0.716870215038552,0.603480629965937,0.175629762486295
"XGBoost",-45.9478811697108,45.9478811697108,0.0349322113863437,0.837114337633352,0.797605192090195,0.628226637416987,0.88386081638883,0.824153269724154,0.0763286073527632
"TabTransformer",-78.006416816493,78.006416816493,0.056684545077978,0.735685222762962,0.656391255801499,0.557045222189299,0.783714690727022,0.702492389918277,0.139636432131644
"TabNet",-81.7688999318414,81.7688999318414,0.0600310405760156,0.720080824582263,0.63981797694709,0.54784379782482,0.770769078480832,0.701845539664183,0.128750899205279
"KAN",-74.6493244691118,74.6493244691118,0.0542739167550061,0.746925759091005,0.671178837807165,0.56509704414259,0.795042911310464,0.777215601192431,0.104371329247266
