"Model","Accuracy","Balanced.Accuracy","Youden.index","DOR","Kappa","F1","MCC","Sensitivity.Recall","Specificity","PPV.precision","NPV"
"Logistic_Regression",0.866120218579235,0.840329991645781,0.680659983291562,33.6989966555184,0.685600084148522,0.782222222222222,0.685727134761808,0.771929824561403,0.908730158730159,0.792792792792793,0.898039215686275
"MLP",0.890710382513661,0.887009189640769,0.774018379281537,62.0879120879121,0.75233455136013,0.833333333333333,0.754419796195949,0.87719298245614,0.896825396825397,0.793650793650794,0.941666666666667
"XGBoost",0.956284153005464,0.949039264828738,0.898078529657477,404.124999999999,0.898078529657477,0.929824561403509,0.898078529657477,0.929824561403509,0.968253968253968,0.929824561403509,0.968253968253968
"TabTransformer",0.92896174863388,0.914786967418546,0.829573934837093,142.857142857143,0.833578174186778,0.88495575221239,0.833646487222227,0.87719298245614,0.952380952380952,0.892857142857143,0.94488188976378
"TabNet",0.918032786885246,0.904448621553885,0.80889724310777,104.28,0.80889724310777,0.868421052631579,0.80889724310777,0.868421052631579,0.94047619047619,0.868421052631579,0.94047619047619
"KAN",0.918032786885246,0.911654135338346,0.823308270676692,110.5,0.811612106238419,0.871794871794872,0.812188802568583,0.894736842105263,0.928571428571428,0.85,0.951219512195122
