"True_Labels","Logistic_Regression","MLP","XGBoost","TabTransformer","TabNet","KAN"
0,0.219889071896517,0.240983986188874,0.0044918843,0.027126709,0.012803906,0.026701579
0,0.362817643068257,0.559687323967862,0.3084941,0.7375857,0.51446706,0.5786516
0,0.133947529741801,0.0811686846478602,0.004899383,0.03160506,0.012382811,0.037085146
0,0.17233427934835,0.0477945210483294,0.0047394745,0.02112812,0.0039400514,0.00010004817
0,0.139790697566255,0.133989501833892,0.00817029,0.025496515,0.00048265368,0.009047941
0,0.143303506045974,0.162305964344973,0.04000467,0.05065668,0.008337236,0.02137545
0,0.643834545344694,0.675693325829289,0.095255174,0.084362954,0.0023828684,0.018635733
0,0.202794586401932,0.0813309461897745,0.021792518,0.026734471,0.0016860722,0.0021225694
0,0.572148447914337,0.881510061638724,0.09905094,0.9359053,0.33651936,0.9583384
0,0.519923052048317,0.625895688751603,0.06792066,0.3605778,0.07189705,0.12732084
0,0.0314123625177638,0.00577816356736993,0.011121782,0.016576534,5.9701924e-05,0.00039065286
0,0.0746183759279627,0.018655702328001,0.011719837,0.022261854,0.0018814658,0.30498073
0,0.20419202527885,0.0193807169480236,0.05777551,0.02986066,0.013303331,0.023456845
0,0.0987630069319104,0.0892403453853494,0.05907698,0.023902025,0.011944829,0.13679525
0,0.078076549696105,0.0415024959905576,0.024388565,0.034801044,0.03519445,0.0396418
0,0.129486203050849,0.074569756612855,0.027159572,0.030554503,0.00048138856,0.01685293
0,0.0530015403308785,0.0242866365892575,0.036263574,0.020718066,7.096091e-05,0.00062582514
0,0.0784264361741969,0.0502256579150422,0.010273198,0.024762178,0.0014542713,0.024877515
0,0.00544326876546505,0.00144387148842182,0.0013599674,0.015841972,2.4856284e-09,4.1774557e-12
0,0.0123937649651403,0.00184786067376173,0.0014940667,0.018991187,7.57275e-09,3.036202e-11
0,0.026252488510572,0.00503202771229916,0.0007336452,0.019229848,4.0233226e-05,2.3139346e-05
0,0.0198841741862609,0.0058770193498512,0.00040090337,0.020130612,0.0027216868,2.9648328e-07
0,0.0955799564416234,0.0291380877728655,0.0017530241,0.02120146,8.9832665e-06,0.004007662
