"Model","O.E.ratio","Cal..intercept","Cal..slope","ECI","ICI","ECE"
"Logistic_Regression",0.922349913470298,-0.243903992030425,1.21835970013801,0.0123633126164954,0.0341998195026835,0.0363210898936465
"MLP",0.95482929484635,-0.151031518365491,1.25621778023786,0.012721812303592,0.0332982919677408,0.036165212884282
"XGBoost",0.992353278884836,-0.0583116824576592,1.13054956152975,0.00432586946525845,0.0188544319379569,0.0249544734701726
"TabTransformer",0.907081218906189,-0.409402471373164,1.23580874659296,0.0202760937854474,0.0428457167221698,0.0420471069338222
"TabNet",0.992668389229351,-0.033594873877696,1.05398059351044,0.00109230561065313,0.0109751449199537,0.0273739344550506
"KAN",0.93017946176292,-0.51943488900148,0.825529146082974,0.0079269686859273,0.0211684992704193,0.0282031883639867
