"Model","Net.benefit","Standardized.net.benefit","Expected.cost..EC.","Threshold.for.EC"
"Logistic_Regression",0.202185792349727,0.649122807017542,0.325136612021858,0.196593954634346
"MLP",0.22040072859745,0.707602339181284,0.270491803278689,0.237007309299668
"XGBoost",0.273224043715847,0.877192982456137,0.147540983606558,0.485377816190371
"TabTransformer",0.246812386156648,0.792397660818711,0.229508196721312,0.360196124812465
"TabNet",0.243169398907104,0.780701754385962,0.180327868852459,0.206028111010787
"KAN",0.250455373406193,0.804093567251459,0.180327868852459,0.127423762691771
