"Model","ICI_pre","ECE_pre","ICI_post","ECE_post","ICI_Improvement","ECE_Improvement"
"KAN",0.0528557966257469,0.0422390729667181,0.0211684992704193,0.0282031883639867,0.0316872973553277,0.0140358846027315
"Logistic_Regression",0.0315164290717057,0.0347376805453944,0.0341998195026835,0.0363210898936465,-0.00268339043097777,-0.00158340934825209
"MLP",0.0250793669387856,0.0307441910161325,0.0332982919677408,0.036165212884282,-0.00821892502895524,-0.00542102186814954
"TabNet",0.0459913628678083,0.05084894184843,0.0109751449199537,0.0273739344550506,0.0350162179478546,0.0234750073933794
"TabTransformer",0.022957030982116,0.0331880402213115,0.0428457167221698,0.0420471069338222,-0.0198886857400538,-0.00885906671251074
"XGBoost",0.0176333594276472,0.0228824421918852,0.0188544319379569,0.0249544734701726,-0.00122107251030973,-0.00207203127828742
