"Model","Net.benefit","Standardized.net.benefit","Expected.cost..EC.","Threshold.for.EC"
"Logistic_Regression",0.198542805100182,0.637426900584793,0.325136612021858,0.192607795257379
"MLP",0.225865209471767,0.725146198830407,0.270491803278689,0.209424661066224
"XGBoost",0.275045537340619,0.883040935672512,0.147540983606558,0.44777396
"TabTransformer",0.251366120218579,0.807017543859647,0.229508196721312,0.3186347
"TabNet",0.243169398907104,0.780701754385962,0.180327868852459,0.076329194
"KAN",0.245901639344262,0.789473684210524,0.180327868852459,0.07508119
