"Model","Metric","Estimate","LCL","UCL"
"TabTransformer","Nagelkerke.R2",0.7837,0.7161,0.8373
"TabTransformer","Discrimination.slope",0.7025,0.6467,0.7518
"TabTransformer","MAPE",0.1396,0.1216,0.1604
"TabTransformer","AUROC",0.9587,0.931,0.981
"TabTransformer","AUPRC",0.9466,0.9146,0.9728
"TabTransformer","AP",0.9468,0.9154,0.9729
"TabTransformer","pAUROC",0.16,0.134,0.1822
"TabTransformer","O.E.ratio",0.9071,0.8361,0.9791
"TabTransformer","Cal..intercept",-0.4094,-0.726,-0.0946
"TabTransformer","Cal..slope",1.2358,1.0483,1.5622
"TabTransformer","ECI",0.0203,0.006,0.0578
"TabTransformer","ICI",0.0428,0.0237,0.0657
"TabTransformer","ECE",0.042,0.0357,0.0736
"TabTransformer","Accuracy",0.9208,0.8907,0.9481
"TabTransformer","Balanced.Accuracy",0.9112,0.8768,0.943
"TabTransformer","Youden.index",0.8225,0.7536,0.8859
"TabTransformer","DOR",114.5962,58.2955,292.726
"TabTransformer","Kappa",0.8166,0.7486,0.878
"TabTransformer","F1",0.8745,0.8251,0.9157
"TabTransformer","MCC",0.8167,0.7493,0.8781
"TabTransformer","Sensitivity.Recall",0.886,0.8261,0.9429
"TabTransformer","Specificity",0.9365,0.9053,0.9662
"TabTransformer","PPV.precision",0.8632,0.7956,0.9255
"TabTransformer","NPV",0.9478,0.9197,0.9751
"TabNet","Loglikelihood",-81.7689,-105.5961,-62.3601
"TabNet","Logloss",81.7689,62.3601,105.5961
"TabNet","Brier",0.06,0.0453,0.0782
"TabNet","Scaled.Brier",0.7201,0.6402,0.7925
"TabNet","McFadden.R2",0.6398,0.5383,0.7212
"TabNet","Cox.Snell.R2",0.5478,0.4806,0.5968
"TabNet","Nagelkerke.R2",0.7708,0.6858,0.8314
"TabNet","Discrimination.slope",0.7018,0.6448,0.751
"TabNet","MAPE",0.1288,0.1092,0.1499
"TabNet","AUROC",0.9579,0.9323,0.979
"TabNet","AUPRC",0.9182,0.85,0.9648
"TabNet","AP",0.9189,0.8532,0.965
"TabNet","pAUROC",0.1639,0.1402,0.183
"TabNet","O.E.ratio",0.9927,0.9095,1.0767
"TabNet","Cal..intercept",-0.0336,-0.4262,0.3373
"TabNet","Cal..slope",1.054,0.854,1.3616
"TabNet","ECI",0.0011,8e-04,0.0265
"TabNet","ICI",0.011,0.0085,0.0434
"TabNet","ECE",0.0274,0.0243,0.0607
"TabNet","Accuracy",0.918,0.8907,0.9427
"TabNet","Balanced.Accuracy",0.9044,0.8694,0.9356
"TabNet","Youden.index",0.8089,0.7388,0.8712
"TabNet","DOR",104.28,55.5253,247.5744
"TabNet","Kappa",0.8089,0.7419,0.8674
"TabNet","F1",0.8684,0.8207,0.9091
"TabNet","MCC",0.8089,0.7419,0.8681
"TabNet","Sensitivity.Recall",0.8684,0.8018,0.925
"TabNet","Specificity",0.9405,0.9094,0.9688
"TabNet","PPV.precision",0.8684,0.8055,0.9279
"TabNet","NPV",0.9405,0.9098,0.9674
"KAN","Loglikelihood",-74.6493,-99.6781,-51.0387
"KAN","Logloss",74.6493,51.0387,99.6781
"KAN","Brier",0.0543,0.0354,0.0729
"KAN","Scaled.Brier",0.7469,0.656,0.8345
"KAN","McFadden.R2",0.6712,0.5596,0.776
"KAN","Cox.Snell.R2",0.5651,0.4933,0.6259
"KAN","Nagelkerke.R2",0.795,0.7032,0.8697
"KAN","Discrimination.slope",0.7772,0.7195,0.8313
"KAN","MAPE",0.1044,0.0832,0.1257
"KAN","AUROC",0.9684,0.9477,0.9859
"KAN","AUPRC",0.9399,0.8967,0.9746
"KAN","AP",0.94,0.8971,0.9747
"KAN","pAUROC",0.1723,0.153,0.1879
"KAN","O.E.ratio",0.9302,0.8605,1.0014
"KAN","Cal..intercept",-0.5194,-1.1655,0.0105
"KAN","Cal..slope",0.8255,0.6937,1.1023
"KAN","ECI",0.0079,0.0015,0.0385
"KAN","ICI",0.0212,0.0118,0.0478
"KAN","ECE",0.0282,0.0193,0.0604
"KAN","Accuracy",0.9262,0.8989,0.9536
"KAN","Balanced.Accuracy",0.9152,0.8791,0.9473
"KAN","Youden.index",0.8304,0.7582,0.8946
"KAN","DOR",132.0769,67.7016,366.0331
"KAN","Kappa",0.8284,0.7605,0.8904
"KAN","F1",0.8821,0.8318,0.925
"KAN","MCC",0.8284,0.7626,0.8913
"KAN","Sensitivity.Recall",0.886,0.8247,0.9375
"KAN","Specificity",0.9444,0.9167,0.9713
"KAN","PPV.precision",0.8783,0.8141,0.9352
"KAN","NPV",0.9482,0.9194,0.9728
