True_Labels,LR_no_PVC,XGBoost_no_PVC,KAN_no_PVC
0,0.4668549414833973,0.014290811,0.52267784
0,0.522945690221129,0.7610847,0.4662276
0,0.32021308057271336,0.021538323,0.26401547
0,0.21050006164443713,0.0032517805,0.05076891
0,0.23510120492388012,0.026674837,0.089533016
0,0.23706988811383573,0.01183496,0.15782292
0,0.2736670058103425,0.01057633,0.060317177
0,0.3584288345942165,0.003715939,0.15010813
0,0.5926786166134604,0.18588507,0.8501551
0,0.41532137931988755,0.117864594,0.41760212
0,0.04379597495029275,0.0035298178,8.677186e-05
0,0.2068349053967863,0.03329628,0.27770147
0,0.37792333549622786,0.19489934,0.38221598
0,0.199730046699642,0.105338685,0.23786986
0,0.13397168482687447,0.01505043,0.11128792
0,0.11180388126820662,0.035541963,0.28340656
0,0.06520787108345343,0.018907659,0.06357524
0,0.09233544340518776,0.0021926453,0.019398883
0,0.007739319590842798,0.00044323367,2.1396641e-11
0,0.03291417667681738,0.00078931556,5.0950835e-09
0,0.03571361182561801,0.008427549,0.0001855685
0,0.024905019516188537,0.00039103627,0.0017144562
0,0.09762119839795634,0.009241077,0.26870427
0,0.08559324406238229,0.031628918,0.32390803
0,0.03997741936208484,0.004004405,0.035950143
0,0.08228338350737355,0.26908246,0.20505822
0,0.16249470644375696,0.13317393,0.1629907
0,0.042604370814995865,0.009494243,0.09627442
0,0.10230218815386843,0.003516987,0.052896738
0,0.12480380310294026,0.025223073,0.09119583
0,0.08650479845477636,0.007598657,0.07446378
0,0.24544859879635778,0.016911156,0.16468453
0,0.08405140743077295,0.0017341345,0.0855425
0,0.3150968213109175,0.22314514,0.37296724
0,0.09866724383812951,0.0046944204,0.015273087
0,0.22196506787348239,0.12204336,0.31710842
0,0.07590396169273962,0.0041219047,0.18214443
0,0.1994185336029986,0.012634029,0.11728102
0,0.1654154468581339,0.020834371,0.107418634
0,0.16612913746782773,0.020990657,0.13814726
0,0.17203184992178458,0.016496366,0.18614738
0,0.14724583548520265,0.019635929,0.16809368
0,0.22900004393181997,0.061212156,0.26819167
0,0.18437713252025692,0.0022942415,0.075911954
0,0.06832421419766038,0.015536322,0.12541209
0,0.015986053729562775,8.2283696e-05,0.114365675
0,0.2358598256636427,0.007380882,0.009747743
0,0.01330977537775991,0.0036710333,1.2470069e-09
0,0.05600880089922817,0.020523373,0.051274113
0,0.09411367069279611,0.06858923,0.0068981973
0,0.1308859579917234,0.010686057,0.0508208
0,0.05204756771980328,0.0006879734,0.00029613098
0,0.14646405134839063,0.019131878,0.00074401055
0,0.10742288088530252,0.0037062368,0.22801377
0,0.23933464576521352,0.07338844,0.167266
0,0.19415709141729873,0.059283912,0.14392601
0,0.3929710002101942,0.06076264,0.22656494
0,0.41300000952655963,0.019793585,0.29897037
0,0.18479400929496406,0.019095922,0.09099649
0,0.25328841718081624,0.01581793,0.1409767
0,0.4537240033545007,0.0178778,0.13519207
0,0.41160309880503104,0.05651074,0.19851848
0,0.3939014651440155,0.095396385,0.23899977
0,0.5043056477626737,0.10930143,0.44428155
0,0.4579085674606245,0.20418432,0.5205178
0,0.3692104581435505,0.0070362394,0.21706045
0,0.3580730784138922,0.01574727,0.09768694
0,0.028016456246330656,0.003490947,8.541349e-14
0,0.19022889531837914,0.078720726,0.19515614
0,0.03964972782249294,0.003106649,0.0007877189
0,0.12042294051784443,0.03685226,0.10212303
0,0.07792714664021455,0.0013751095,0.0574235
0,0.31773578953231196,0.010959882,0.12259182
0,0.05939634143460084,0.00057369645,0.015867269
0,0.22468052068977287,0.26482472,0.38113818
0,0.13002821697767208,0.0016898506,0.017275501
0,0.13191367595840253,0.012435755,0.04598836
0,0.5503400406699347,0.18426521,0.46814284
0,0.3382847810344134,0.2985438,0.51315624
0,0.47955453818344673,0.0862134,0.2868053
0,0.14497081441235646,0.0015962785,5.6429714e-09
0,0.1447207550456458,0.008033237,2.8869142e-06
0,0.07431561527123122,0.0100349635,1.0307247e-07
0,0.18474508559000297,0.042957757,1.545157e-07
0,0.07720364686534313,0.0014762024,1.8781656e-06
0,0.2406776322172804,0.0004820206,0.0009793739
0,0.0719309673617391,0.00047535743,0.003156696
0,0.12730609086655562,0.0009338493,0.00039038257
0,0.06668014230997554,0.0017463836,0.005792824
0,0.2320781182298858,0.12404357,0.21912585
0,0.2884137589141138,0.0225272,0.5008034
0,0.13004496105899158,0.033923067,0.24150746
0,0.19543179079904813,0.06006413,0.18442261
0,0.1837071368141069,0.016756115,0.2740787
0,0.18888264588419354,0.020209301,0.29929972
0,0.3823975986947139,0.06073169,0.4399976
0,0.13630786886381455,0.11491667,0.23261605
0,0.20605924685460422,0.3824985,0.25596318
0,0.10685181894844994,0.01159258,0.10322571
0,0.36592795864182237,0.1226959,0.14288607
0,0.5339822135092109,0.0062378473,0.27745777
0,0.17754801641982348,0.00811596,0.040596936
0,0.2292176598301381,0.016309323,0.22878477
0,0.33779653682042116,0.06573351,0.16895817
0,0.3982971010310664,0.52655315,0.3081831
0,0.3488358384180238,0.018651772,0.3301452
0,0.6380987850036245,0.03150214,0.2796121
0,0.27014229030249226,0.012194512,0.27262336
0,0.29711216366262705,0.10355008,0.32488486
0,0.04335353119806222,0.027143307,0.06438712
0,0.037514354790370984,0.18908384,0.088480584
0,0.12024558244610824,0.060247906,0.09314108
0,0.1909532067253974,0.7292498,0.18506294
0,0.1837058312134887,0.0038726712,0.06390947
0,0.2479913906280703,0.14405821,0.2952193
0,0.14586175380346333,0.009655519,0.06625465
0,0.08894437076409166,0.00072907377,0.06607517
0,0.07971682932566103,0.012295816,0.082853846
0,0.1393903213009513,0.050917257,0.16816825
0,0.18461579234103245,0.01739501,0.1310373
0,0.15578818500838534,0.04217152,0.15465927
0,0.12765497718105717,0.002511485,0.09357098
0,0.22591271328709325,0.0305612,0.119440734
0,0.1284068208248601,0.025546808,0.1565988
0,0.31690091236924917,0.03841086,0.15712674
0,0.32113760281529635,0.34512725,0.33146092
0,0.10393506998241041,0.058526754,0.059132
0,0.12619420019715058,0.047575995,0.11152604
0,0.1590458630918575,0.035738826,0.09226524
0,0.027730875151897632,0.0017749344,1.5198005e-15
0,0.025655026766784113,0.036426164,0.038770624
0,0.13805242134421428,0.010198401,0.0034140877
0,0.16894518742526768,0.0052467724,0.012686261
0,0.03468165875771817,0.0018986063,0.00079298415
0,0.14445879034840436,0.011119658,4.013311e-06
0,0.4241458712266811,0.13221383,0.2345336
0,0.5013646822400184,0.028989207,0.37167925
0,0.5536822462137704,0.56477284,0.35427696
0,0.2073881108845233,0.0020345517,6.325764e-07
0,0.035858016633050944,0.0005979574,3.7181584e-07
0,0.2297619545348463,0.0026174346,9.9259436e-05
0,0.20518311222562463,0.026790004,0.0010488419
0,0.11163323719279163,0.005143304,0.093929924
0,0.16787469900126978,0.121331125,0.17665428
0,0.17714028738629709,0.018803574,0.1546661
0,0.26540177849118546,0.24751888,0.18381858
0,0.18531200826340716,0.01899125,0.13158603
0,0.195682849882687,0.00074289745,0.16089185
0,0.4634993171303644,0.055786695,0.23814373
0,0.36134995187236013,0.02469712,0.23916931
0,0.19116795625153662,0.0030632538,0.15306655
0,0.2931761577163369,0.09225474,0.21768779
0,0.4172563299899499,0.4512743,0.4359628
0,0.10509122155041288,0.0017099589,0.034525353
0,0.1188777147086537,0.035732795,0.299311
0,0.22173730241332298,0.12894176,0.14400558
0,0.06835280864969027,0.009539353,0.1980626
0,0.0846500729957754,0.042305067,0.044465233
