model,auc_before,auc_after,intercept,slope
lr,0.9268657755499862,0.9268657755499862,0.059629328572921574,1.0238603431837658
mlp,0.9458716235032024,0.9458716235032024,-0.20573957995119874,0.7252485254944251
xgboost,0.9871205792258424,0.9871205792258424,0.1411213466208513,0.9521048334018118
tabtransformer,0.9586814257866889,0.9586814257866889,0.004845341365062046,0.762260136635464
tabnet,0.957880813143971,0.957880813143971,-0.24576761760744203,0.44249296390276494
kan,0.968358395989975,0.968358395989975,-0.8077528425659554,0.44449165512322103
