"Model","AUROC","AUPRC","AP","pAUROC"
"Logistic_Regression",0.926865775549986,0.89304180400971,0.893414426905694,0.137733221943748
"MLP",0.945871623503202,0.918486150469976,0.918780450160505,0.151587301587302
"XGBoost",0.987120579225842,0.978517786357941,0.978590764594445,0.187120579225842
"TabTransformer",0.958681425786689,0.946622493634758,0.946784431734003,0.159997215260373
"TabNet",0.957880813143971,0.918205376034051,0.918865908181804,0.163888888888889
"KAN",0.968358395989975,0.939864407281864,0.940008327068267,0.172319688109162
