"","Mean","Median","Min","Max","SD","IQR"
"Logistic_Regression",0.337697662554284,0.169448416901896,0.00360556045083622,0.999746763634111,0.335537323711711,0.504387940505461
"MLP",0.326210571373586,0.137470097929355,0.00160439952555877,0.993365334215065,0.347991053869756,0.581162628905896
"XGBoost",0.313875528467128,0.0380036056022386,0.00021325988622855,0.99991988202558,0.417657624605155,0.871249809645245
"TabTransformer",0.343382051512059,0.10116773785313,0.0358401712726646,0.979715658268674,0.378033588432102,0.719499751344884
"TabNet",0.313775892549451,0.0796146910087629,0.00172804782520506,0.997178041417549,0.383408879646652,0.717265991222964
"KAN",0.334855178640198,0.080943680012637,0.00095902727749967,0.995194254976957,0.416056166610689,0.892641425553553
