"Model","Loglikelihood","Logloss","Brier","Scaled.Brier","McFadden.R2","Cox.Snell.R2","Nagelkerke.R2","Discrimination.slope","MAPE"
"Logistic_Regression",-109.876571800564,109.876571800564,0.0904491590142607,0.578243959032501,0.516007113337301,0.472778093158227,0.66515809184357,0.547070228386594,0.202438405430608
"MLP",-95.2884971992639,95.2884971992639,0.0769667960307427,0.641110967380459,0.580265801258047,0.513174724809704,0.721992676218466,0.670035984156389,0.148932278441579
"XGBoost",-45.7095923400475,45.7095923400475,0.0344323276562082,0.839445249111841,0.798654825298059,0.628710417675157,0.884541453580046,0.828566187431,0.0718258544323224
"TabTransformer",-74.2959169511142,74.2959169511142,0.0551036436537607,0.743056819504206,0.672735554785143,0.565936113321823,0.796223409438994,0.757657943093776,0.109094769226776
"TabNet",-112.077166938296,112.077166938296,0.0642885186716264,0.700228599026163,0.506313760371937,0.46639991944996,0.656184550313974,0.794530012191075,0.0869750195848015
"KAN",-124.912694558818,124.912694558818,0.0679038406864028,0.683370687726685,0.449774827976313,0.427629710756166,0.60163820307764,0.813668084206242,0.0895394806211984
