True_Labels,Predicted_Probabilities
0,0.026701579
0,0.5786516
0,0.037085146
0,0.00010004817
0,0.009047941
0,0.02137545
0,0.018635733
0,0.0021225694
0,0.9583384
0,0.12732084
0,0.00039065286
0,0.30498073
0,0.023456845
0,0.13679525
0,0.0396418
0,0.01685293
0,0.00062582514
0,0.024877515
0,4.1774557e-12
0,3.036202e-11
0,2.3139346e-05
0,2.9648328e-07
0,0.004007662
0,0.00032013038
0,0.053662542
0,0.05882881
0,0.33340767
0,0.0012054025
0,0.0041129324
0,0.020567758
0,0.008052045
0,0.023146996
0,0.00081685017
0,0.08171247
0,0.0022136443
0,0.0004992394
0,0.036393084
0,0.02613453
0,9.7575736e-05
0,0.02344897
0,3.83784e-05
0,0.109656185
0,0.07063853
0,0.050238486
0,0.009686432
0,7.700323e-05
0,0.0027869535
0,4.64828e-11
0,0.007807204
0,0.0029669108
0,0.09912122
0,2.9488792e-05
0,1.8720749e-06
0,0.0011396387
0,0.00027284728
0,0.056191456
0,0.030698482
0,0.059353743
0,0.002519632
0,0.09025402
0,0.0004091326
0,0.007732856
0,0.002294185
0,0.73548365
0,0.999997
0,0.00741013
0,0.0022106364
0,9.521196e-16
0,0.023494333
0,0.00020887172
0,0.023990769
0,4.1225216e-05
0,0.17149647
0,0.0003925261
0,0.9989802
0,0.008390707
0,0.0040164194
0,0.08401474
0,0.8028283
0,0.11950874
0,1.2316523e-08
0,1.3327837e-11
0,6.817704e-07
0,1.9986658e-08
0,1.5637303e-06
0,5.080695e-07
0,6.2124236e-08
0,1.975486e-08
0,0.00014146787
0,0.0042217495
0,0.0001249759
0,0.0036795
0,0.0021185342
0,0.028958533
0,0.07229919
0,0.9717272
0,0.02535085
0,0.046320498
0,0.015251207
0,0.99203473
0,0.0038841886
0,0.029659215
0,0.00749791
0,0.3082741
0,0.027114695
0,0.08892798
0,0.00010945587
0,1.9118525e-05
0,0.057208005
0,0.007897564
0,0.016352886
0,0.02033945
0,0.7976113
0,0.0012149864
0,0.0677391
0,0.00012334799
0,0.001750876
0,0.00035279963
0,0.0012569317
0,0.00048661942
0,0.03997494
0,0.0010302662
0,0.002913991
0,0.0034456942
0,0.008220611
0,0.67402846
0,0.011745587
0,0.007145606
0,0.007787541
0,2.9198432e-14
0,0.001975493
0,0.017605983
0,2.0558506e-05
0,2.6656928e-06
0,1.1655868e-08
0,0.035601407
0,0.0044274554
0,0.9999994
0,1.5467523e-11
0,4.031835e-09
0,3.3204687e-06
0,4.4184853e-05
0,0.0020046548
0,0.031138076
0,0.8140268
0,0.70516765
0,0.0045743287
0,0.008952187
0,0.027542273
0,0.0040055574
0,0.0006354391
0,0.004077975
0,0.9581874
0,0.06946025
0,0.01264645
0,0.0027577493
0,0.012237622
0,0.019966163
0,4.667155e-16
0,0.019292345
0,0.051697623
0,0.01095319
0,0.00012360065
0,0.112264104
0,0.013746645
0,0.012832651
0,0.029281838
0,0.015739614
0,0.16654088
0,0.03248803
0,2.11045e-10
0,7.508654e-11
0,1.7921859e-07
0,1.8654681e-08
0,9.603398e-08
0,0.00012020271
0,1.0071493e-06
0,6.884834e-08
0,0.005766766
0,0.008179442
0,0.013271139
0,0.0062224073
0,0.021542422
0,0.00012842842
0,0.023034034
0,0.0180432
0,0.009296245
0,0.004513845
0,0.03583724
0,1.6472535e-05
0,0.0045489906
0,4.921993e-05
0,0.0012680648
0,1.8224177e-12
0,3.064109e-11
0,7.86905e-06
0,4.818924e-05
0,0.00021978482
0,5.9482678e-05
0,0.064828195
0,0.008570829
0,0.0062840604
0,0.017559385
0,0.38342664
0,0.074007526
0,0.07583244
0,0.017513314
0,0.04846811
0,0.00050859695
0,0.0021154215
0,0.0065750917
0,0.010576085
0,0.00030110194
0,0.54688525
0,0.0015663377
0,0.0021418503
0,0.00016573633
0,0.0066963006
0,0.03150622
0,0.005960238
0,0.0061659343
0,0.00094639516
0,3.367111e-13
0,0.0062025585
0,0.017605983
0,0.009573912
0,2.8711595e-06
0,8.03694e-05
0,0.038120877
0,0.009257114
0,7.6548866e-05
0,0.9999994
0,5.6760832e-11
0,5.325779e-09
0,0.00021543485
0,2.0370056e-08
0,0.0029556623
0,0.0028553773
0,0.9790546
0,0.24932157
0,0.008339926
0,0.025376098
0,0.051146686
0,0.0013914357
0,0.009377903
0,0.0030983079
0,0.9580085
0,0.0006296182
0,0.00037058612
0,0.041294407
0,0.0057647373
0,0.012778718
1,1.0
1,1.0
1,1.0
1,1.0
1,0.99944836
1,0.9999999
1,1.0
1,0.63954026
1,1.0
1,1.0
1,0.98926723
1,0.9975284
1,0.28105554
1,1.0
1,1.0
1,0.049509507
1,0.007908542
1,1.0
1,0.9956026
1,0.89387065
1,0.07508119
1,0.99999917
1,0.99483585
1,0.999448
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.9999994
1,0.87039655
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.99971277
1,0.99999917
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.07699488
1,0.007964738
1,0.99882823
1,0.0016480781
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.9999958
1,0.9999411
1,0.10672763
1,1.0
1,0.9948342
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.9999356
1,1.0
1,1.0
1,0.9977227
1,1.0
1,1.0
1,1.0
1,0.9885627
1,1.0
1,1.0
1,1.0
1,0.9704251
1,0.9999988
1,0.13633534
1,0.106763564
1,0.9848312
1,0.99995875
1,0.03666743
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.9999999
1,0.9999976
1,0.0812876
1,1.0
1,1.0
1,1.0
