"True_Labels","Logistic_Regression","MLP","XGBoost","TabTransformer","TabNet","KAN"
0,0.224976350438186,0.261572449399976,0.00668501892837138,0.0615809530789211,0.102619503156131,0.0827063984774884
0,0.373562589955507,0.492061315219223,0.348102998811741,0.688391272869866,0.445182683301967,0.339226730580563
0,0.135708220000826,0.122861403295927,0.0072598411008138,0.0688907404943839,0.10124764777219,0.094888951310201
0,0.175522159863775,0.0850532162175094,0.00703458092041988,0.0512208694184888,0.06333365671536,0.00738117609513763
0,0.141759176114307,0.173768412450211,0.0117966310231412,0.0588360369767776,0.0259694020343116,0.0523941872250642
0,0.14539878854218,0.19845233671932,0.0529199478922567,0.0971666902588847,0.0862515557362371,0.0753377835049953
0,0.660562554370469,0.580938910178468,0.118976766405342,0.140305173691467,0.0513134174335359,0.0711169724226238
0,0.207189179340419,0.123031393795561,0.0298625345351665,0.0609248956999059,0.0443408495243316,0.0281210899961857
0,0.588359040132343,0.777247099472169,0.123364329046067,0.885804139916783,0.366757795190228,0.642447833878831
0,0.535257946036463,0.541779576793056,0.0868660636369273,0.393691601046756,0.201390924330329,0.159314679184048
0,0.0307445165903249,0.019091650588074,0.0158033021490107,0.0427988540145446,0.0104619587731563,0.0134423389177931
0,0.0745875364746075,0.0439510006578463,0.016607366292112,0.0532366331386635,0.0464467302449577,0.23615498215069
0,0.208642940916095,0.0451507579846532,0.0746853876425407,0.0660812565243606,0.104210141778659,0.0783341944287415
0,0.099376457140646,0.131192873593801,0.0762570570921981,0.0561026330150605,0.0997892178143029,0.164299333070809
0,0.0781286486645876,0.0770770942219533,0.0332095013702379,0.0739248457219682,0.153049775663924,0.0975687363667907
0,0.131091069863408,0.11585361292115,0.0367570085624664,0.0672042553546113,0.0259400272216699,0.0681690982955724
0,0.0525436820608406,0.0529372388521532,0.0482555191753387,0.0504843996070798,0.0112837887292469,0.0165246330790107
0,0.0784871197544614,0.0880442838573302,0.0146581898356742,0.0575833741319178,0.0416448404022205,0.0802899234999673
0,0.00510431946524555,0.00704668140572388,0.00214652694211182,0.0413830187236346,0.00172804782520506,0.00095902727749967
0,0.0118568248314308,0.00841812675215432,0.00234741460846123,0.0473369150602634,0.00172804782520506,0.00095902727749967
0,0.0255813196610498,0.0172923585569191,0.00119312892307348,0.0477765023653075,0.00880021208301294,0.00386378837621309
0,0.0192441043705511,0.0193247854107094,0.00067127440264593,0.0494221808528933,0.0542616691607537,0.00095902727749967
0,0.0961005124247639,0.0601679683993862,0.00273289114728357,0.0513521673301233,0.00455213261794958,0.0369919815605528
0,0.108406081108906,0.0440269133815995,0.00939802370027751,0.147423469947387,0.093541071412273,0.0123175268125955
0,0.030384760297347,0.0225856575797221,0.0102658230669206,0.0599699908016138,0.0338669024402007,0.110721508497293
0,0.385006086165827,0.457975390540785,0.386681096067404,0.286729705759857,0.381925733974012,0.115056243154067
0,0.339748296148924,0.113724493112183,0.17414278892884,0.0601256161607896,0.0221203800941219,0.246809332902113
0,0.0329892775095033,0.0143345342787293,0.0099193984718989,0.0396117147639798,0.126801752781207,0.0219967294864384
0,0.119461449486458,0.0975807353276782,0.00408377299637063,0.11885623680766,0.031429451848847,0.037406427719401
0,0.071686471478747,0.0205642180149394,0.00674194434668552,0.0590259794854143,0.0200706041525502,0.0741285607140611
0,0.142616260735522,0.0758144593929788,0.00132268691251139,0.0889850538352999,0.0696954713950851,0.0498584895643361
0,0.199245824980707,0.149655690238939,0.00503953896573506,0.0658786742988289,0.185445020431397,0.0778983967974036
0,0.0984137039561617,0.0939674009395026,0.00255019423629236,0.0815740322134427,0.0272125542100219,0.0185647818720061
0,0.547619371418149,0.478178230744434,0.456169786480057,0.449340721188926,0.0800557189821511,0.132031687698837
0,0.0566364051239978,0.0246630870396625,0.00263644167122004,0.0369262373733578,0.0234499024818751,0.0286371167183566
