"Model","Metric","Estimate","LCL","UCL"
"TabTransformer","Nagelkerke.R2",0.7962,0.7115,0.86
"TabTransformer","Discrimination.slope",0.7577,0.6976,0.8089
"TabTransformer","MAPE",0.1091,0.0895,0.131
"TabTransformer","AUROC",0.9587,0.931,0.981
"TabTransformer","AUPRC",0.9466,0.9146,0.9728
"TabTransformer","AP",0.9468,0.9154,0.9729
"TabTransformer","pAUROC",0.16,0.134,0.1822
"TabTransformer","O.E.ratio",0.958,0.8858,1.0312
"TabTransformer","Cal..intercept",-0.263,-0.7304,0.1878
"TabTransformer","Cal..slope",0.942,0.7991,1.1908
"TabTransformer","ECI",0.0101,0.0015,0.0427
"TabTransformer","ICI",0.023,0.0104,0.0484
"TabTransformer","ECE",0.0332,0.0222,0.061
"TabTransformer","Accuracy",0.929,0.9016,0.9509
"TabTransformer","Balanced.Accuracy",0.9148,0.8802,0.9435
"TabTransformer","Youden.index",0.8296,0.7604,0.887
"TabTransformer","DOR",142.8571,70.1311,372.1907
"TabTransformer","Kappa",0.8336,0.7693,0.8893
"TabTransformer","F1",0.885,0.8364,0.9237
"TabTransformer","MCC",0.8336,0.7697,0.89
"TabTransformer","Sensitivity.Recall",0.8772,0.8148,0.9344
"TabTransformer","Specificity",0.9524,0.9258,0.9767
"TabTransformer","PPV.precision",0.8929,0.8333,0.9469
"TabTransformer","NPV",0.9449,0.9163,0.972
"TabNet","Loglikelihood",-112.0772,-165.2151,-70.6563
"TabNet","Logloss",112.0772,70.6563,165.2151
"TabNet","Brier",0.0643,0.0444,0.0862
"TabNet","Scaled.Brier",0.7002,0.5959,0.7901
"TabNet","McFadden.R2",0.5063,0.2707,0.6853
"TabNet","Cox.Snell.R2",0.4664,0.2891,0.5734
"TabNet","Nagelkerke.R2",0.6562,0.4052,0.803
"TabNet","Discrimination.slope",0.7945,0.7316,0.8501
"TabNet","MAPE",0.087,0.065,0.111
"TabNet","AUROC",0.9579,0.9323,0.9789
"TabNet","AUPRC",0.9222,0.8603,0.9648
"TabNet","AP",0.9232,0.8639,0.965
"TabNet","pAUROC",0.1639,0.1402,0.183
"TabNet","O.E.ratio",1.0099,0.9277,1.0974
"TabNet","Cal..intercept",0.134,-1.1098,1.2148
"TabNet","Cal..slope",0.4646,0.375,0.6021
"TabNet","ECI",0.0178,0.0073,0.0581
"TabNet","ICI",0.046,0.0282,0.071
"TabNet","ECE",0.0508,0.0255,0.0731
"TabNet","Accuracy",0.918,0.8907,0.9427
"TabNet","Balanced.Accuracy",0.9044,0.8694,0.9356
"TabNet","Youden.index",0.8089,0.7388,0.8712
"TabNet","DOR",104.28,55.5253,247.5744
"TabNet","Kappa",0.8089,0.7419,0.8674
"TabNet","F1",0.8684,0.8207,0.9091
"TabNet","MCC",0.8089,0.7419,0.8681
"TabNet","Sensitivity.Recall",0.8684,0.8018,0.925
"TabNet","Specificity",0.9405,0.9094,0.9688
"TabNet","PPV.precision",0.8684,0.8055,0.9279
"TabNet","NPV",0.9405,0.9098,0.9674
"KAN","Loglikelihood",-124.9127,-183.4728,-73.1092
"KAN","Logloss",124.9127,73.1092,183.4728
"KAN","Brier",0.0679,0.0445,0.0915
"KAN","Scaled.Brier",0.6834,0.5688,0.7914
"KAN","McFadden.R2",0.4498,0.1866,0.68
"KAN","Cox.Snell.R2",0.4276,0.2036,0.576
"KAN","Nagelkerke.R2",0.6016,0.2914,0.8049
"KAN","Discrimination.slope",0.8137,0.751,0.8695
"KAN","MAPE",0.0895,0.0653,0.1142
"KAN","AUROC",0.971,0.9508,0.9874
"KAN","AUPRC",0.9564,0.9302,0.9789
"KAN","AP",0.9565,0.9303,0.979
"KAN","pAUROC",0.1723,0.153,0.1879
"KAN","O.E.ratio",0.9243,0.8474,1.0018
"KAN","Cal..intercept",-1.5032,-3.4334,0.0228
"KAN","Cal..slope",0.332,0.2741,0.4668
"KAN","ECI",0.0364,0.0151,0.0783
"KAN","ICI",0.0529,0.0332,0.076
"KAN","ECE",0.0422,0.0307,0.0825
"KAN","Accuracy",0.918,0.8907,0.9454
"KAN","Balanced.Accuracy",0.9117,0.8778,0.9441
"KAN","Youden.index",0.8233,0.7555,0.8883
"KAN","DOR",110.5,58.2797,290.5356
"KAN","Kappa",0.8116,0.744,0.8745
"KAN","F1",0.8718,0.824,0.9174
"KAN","MCC",0.8122,0.7467,0.8754
"KAN","Sensitivity.Recall",0.8947,0.8362,0.9455
"KAN","Specificity",0.9286,0.896,0.9574
"KAN","PPV.precision",0.85,0.783,0.9091
"KAN","NPV",0.9512,0.924,0.9756
